List of songs in Glee season one,,,,,,
Title,Version covered,Performed by,Episode,Single,Album[nb 1],season
"""Young Girl""",Gary Puckett & The Union Gap,,,,,1
"""Crush""",Jennifer Paige,Rachel Berry,"10. ""Ballad""",Yes,Volume 2,1
"""(You're) Having My Baby""",Paul Anka and Odia Coates,Finn Hudson,"10. ""Ballad""",Yes,Volume 2,1
"""Lean on Me""",Bill Withers,New Directions,"10. ""Ballad""",Yes,Volume 2,1
"""Bootylicious""",Destiny's Child,Jane Addams Girls Choir,"11. ""Hairography""",Yes,The Complete Season One,1
"""Don't Make Me Over""",Dionne Warwick,Mercedes Jones,"11. ""Hairography""",Yes,Volume 2,1
"""You're the One That I Want""",Grease,Rachel Berry and Finn Hudson,"11. ""Hairography""",No,N/A,1
"""Papa Don't Preach""",Madonna,Quinn Fabray,"11. ""Hairography""",Yes,The Complete Season One,1
"""Crazy in Love/Hair""",Beyoncé feat. Jay-Z / Hair,New Directions,"11. ""Hairography""",Yes,The Complete Season One,1
"""Imagine""",John Lennon,Haverbrook Deaf Choir and New Directions,"11. ""Hairography""",Yes,Volume 2,1
"""True Colors""",Cyndi Lauper,Tina Cohen-Chang and New Directions,"11. ""Hairography""",Yes,Volume 2,1
"""Smile""",Lily Allen,Rachel Berry and Finn Hudson,"12. ""Mattress""",Yes,Volume 2,1
"""When You're Smiling""",Louis Armstrong,Rachel Berry,"12. ""Mattress""",No,N/A,1
"""Jump""",Van Halen,New Directions,"12. ""Mattress""",Yes,Volume 2,1
"""Smile""",Nat King Cole,New Directions,"12. ""Mattress""",Yes,Volume 2,1
"""And I Am Telling You I'm Not Going""",Dreamgirls,Mercedes Jones,"13. ""Sectionals""",Yes,Volume 2,1
"""And I Am Telling You I'm Not Going""",Dreamgirls,Jane Addams Girls Choir,"13. ""Sectionals""",No,N/A,1
"""Proud Mary""",Ike and Tina Turner,Jane Addams Girls Choir,"13. ""Sectionals""",No,N/A,1
"""Don't Stop Believin'""",Journey,Haverbrook Deaf Choir,"13. ""Sectionals""",No,N/A,1
"""Don't Rain on My Parade""",Funny Girl,Rachel Berry,"13. ""Sectionals""",Yes,Volume 2,1
"""You Can't Always Get What You Want""",The Rolling Stones,New Directions,"13. ""Sectionals""",Yes,Volume 2,1
"""My Life Would Suck Without You""",Kelly Clarkson,New Directions,"13. ""Sectionals""",Yes,Volume 2,1
"""Hello, I Love You""",The Doors,Finn Hudson,"14. ""Hell-O""",Yes,Love Songs,1
"""Gives You Hell""",The All-American Rejects,Rachel Berry and New Directions,"14. ""Hell-O""",Yes,Volume 3 Showstoppers,1
"""Hello""",Lionel Richie,Rachel Berry and Jesse St. James,"14. ""Hell-O""",Yes,Volume 3 Showstoppers,1
"""Hello Again""",Neil Diamond,Will Schuester,"14. ""Hell-O""",No,N/A,1
"""Highway to Hell""",AC/DC,Vocal Adrenaline,"14. ""Hell-O""",Yes,The Complete Season One,1
"""Hello, Goodbye""",The Beatles,New Directions,"14. ""Hell-O""",Yes,Volume 3 Showstoppers,1
"""Ray of Light""[nb 3]",Madonna,McKinley High Cheerios,"15. ""The Power of Madonna""",No,N/A,1
"""Express Yourself""",Madonna,New Directions females,"15. ""The Power of Madonna""",Yes,The Power of Madonna,1
"""Open Your Heart/Borderline""",Madonna,Rachel Berry and Finn Hudson,"15. ""The Power of Madonna""",Yes,The Power of Madonna,1
"""Vogue""",Madonna,Sue Sylvester,"15. ""The Power of Madonna""",Yes,The Power of Madonna,1
"""Like a Virgin""",Madonna,Finn Hudson and Santana Lopez;,"15. ""The Power of Madonna""",Yes,The Power of Madonna,1
,,Will Schuester and Emma Pillsbury;,,,,1
,,Rachel Berry and Jesse St. James,,,,1
"""4 Minutes""",Madonna feat.,Kurt Hummel and Mercedes Jones,"15. ""The Power of Madonna""",Yes,The Power of Madonna,1
,Justin Timberlake and Timbaland,,,,,1
"""What It Feels Like for a Girl""",Madonna,Will Schuester and New Directions males,"15. ""The Power of Madonna""",Yes,The Power of Madonna,1
"""Like a Prayer""",Madonna,New Directions,"15. ""The Power of Madonna""",Yes,The Power of Madonna,1
"""Fire""",Bruce Springsteen,April Rhodes and Will Schuester,"16. ""Home""",Yes,The Complete Season One,1
"""A House Is Not a Home""",Dionne Warwick,Kurt Hummel with Finn Hudson,"16. ""Home""",Yes,Volume 3 Showstoppers,1
"""One Less Bell to Answer/",The 5th Dimension/Dionne Warwick,April Rhodes and Will Schuester,"16. ""Home""",Yes,Volume 3 Showstoppers,1
"A House Is Not a Home""",,,,,,1
"""Beautiful""",Christina Aguilera,Mercedes Jones and New Directions,"16. ""Home""",Yes,Volume 3 Showstoppers,1
"""Home""[nb 4]",The Wiz,April Rhodes and New Directions,"16. ""Home""",Yes,Volume 3 Showstoppers,1
"""Ice Ice Baby""",Vanilla Ice,Will Schuester and New Directions,"17. ""Bad Reputation""",Yes,The Complete Season One,1
"""U Can't Touch This""",MC Hammer,"Artie Abrams, Kurt Hummel, Mercedes Jones, Tina Cohen-Chang and Brittany Pierce","17. ""Bad Reputation""",Yes,The Complete Season One,1
"""Physical""",Olivia Newton-John,Sue Sylvester and Olivia Newton-John,"17. ""Bad Reputation""",Yes,Volume 3 Showstoppers,1
"""Run Joey Run""",David Geddes,"Rachel Berry, Noah Puckerman, Jesse St. James and Finn Hudson with Santana Lopez and Brittany Pierce","17. ""Bad Reputation""",Yes,The Complete Season One,1
"""Total Eclipse of the Heart""",Bonnie Tyler,"Rachel Berry, Finn Hudson,","17. ""Bad Reputation""",Yes,Volume 3 Showstoppers,1
,,Jesse St. James and Noah Puckerman,,,,1
"""The Climb""",Miley Cyrus,Rachel Berry,"18. ""Laryngitis""",No,N/A,1
"""Jessie's Girl""",Rick Springfield,Finn Hudson,"18. ""Laryngitis""",Yes,The Complete Season One,1
"""The Lady Is a Tramp""","Sammy Davis, Jr.",Noah Puckerman and Mercedes Jones,"18. ""Laryngitis""",Yes,Volume 3 Showstoppers,1
"""Pink Houses""",John Mellencamp,Kurt Hummel,"18. ""Laryngitis""",No,N/A,1
"""The Boy Is Mine""",Brandy and Monica,Mercedes Jones and Santana Lopez,"18. ""Laryngitis""",Yes,Love Songs,1
"""Rose's Turn""[nb 4]",Gypsy: A Musical Fable,Kurt Hummel,"18. ""Laryngitis""",Yes,Volume 3 Showstoppers,1
"""One""",U2,"Rachel Berry, Sean Fretthold, Finn Hudson and New Directions","18. ""Laryngitis""",Yes,Volume 3 Showstoppers,1
"""Daydream Believer""",The Monkees,Bryan Ryan,"19. ""Dream On""",No,N/A,1
"""Piano Man""",Billy Joel,Will Schuester and Bryan Ryan,"19. ""Dream On""",No,N/A,1
"""Big Spender""",Sweet Charity,Auditioning woman,"19. ""Dream On""",No,N/A,1
"""Dream On""",Aerosmith,Will Schuester and Bryan Ryan,"19. ""Dream On""",Yes,Volume 3 Showstoppers,1
"""The Safety Dance""",Men Without Hats,Artie Abrams,"19. ""Dream On""",Yes,Volume 3 Showstoppers,1
"""I Dreamed a Dream""",Les Misérables,Rachel Berry and Shelby Corcoran,"19. ""Dream On""",Yes,Volume 3 Showstoppers,1
"""Dream a Little Dream of Me""",The Mamas and the Papas,Artie Abrams and New Directions,"19. ""Dream On""",Yes,Love Songs,1
"""Funny Girl""",Barbra Streisand,Shelby Corcoran,"20. ""Theatricality""",Yes,The Complete Season One,1
"""Bad Romance""",Lady Gaga,New Directions females with Kurt Hummel,"20. ""Theatricality""",Yes,Volume 3 Showstoppers,1
"""Shout It Out Loud""",Kiss,New Directions males except Kurt Hummel,"20. ""Theatricality""",Yes,The Complete Season One,1
"""Beth""[nb 4]",Kiss,New Directions males except Kurt Hummel,"20. ""Theatricality""",Yes,Volume 3 Showstoppers,1
"""Poker Face""[nb 4]",Lady Gaga,Rachel Berry and Shelby Corcoran,"20. ""Theatricality""",Yes,Volume 3 Showstoppers,1
"""Another One Bites the Dust""",Queen,Vocal Adrenaline,"21. ""Funk""",Yes,The Complete Season One,1
"""Tell Me Something Good""",Rufus and Chaka Khan,Will Schuester,"21. ""Funk""",Yes,Love Songs,1
"""Loser""[nb 4]",Beck,"Noah Puckerman, Finn Hudson, Sandy Ryerson, Howard Bamboo and Terri Schuester","21. ""Funk""",Yes,Volume 3 Showstoppers,1
"""It's a Man's Man's Man's World""",James Brown,Quinn Fabray,"21. ""Funk""",Yes,The Complete Season One,1
"""Good Vibrations""",Marky Mark and the Funky Bunch,"Noah Puckerman, Finn Hudson and Mercedes Jones","21. ""Funk""",Yes,The Complete Season One,1
,feat. Loleatta Holloway,,,,,1
"""Give Up the Funk""",Parliament,New Directions,"21. ""Funk""",Yes,Volume 3 Showstoppers,1
"""You Raise Me Up"" / ""Magic""",Josh Groban / Olivia Newton-John,Aural Intensity,"22. ""Journey to Regionals""",No,N/A,1
"""Faithfully""",Journey,"Rachel Berry, Finn Hudson and New Directions","22. ""Journey to Regionals""",Yes,Journey to Regionals,1
"""Any Way You Want It"" / ""Lovin', Touchin', Squeezin'""",Journey,New Directions,"22. ""Journey to Regionals""",Yes,Journey to Regionals,1
"""Don't Stop Believin'""",Journey,New Directions,"22. ""Journey to Regionals""",Yes,Journey to Regionals,1
"""Bohemian Rhapsody""",Queen,Vocal Adrenaline,"22. ""Journey to Regionals""",Yes,Journey to Regionals,1
"""To Sir, with Love""",Lulu,New Directions,"22. ""Journey to Regionals""",Yes,Journey to Regionals,1
"""Over the Rainbow""",Israel Kamakawiwo?ole,Will Schuester and Noah Puckerman,"22. ""Journey to Regionals""",Yes,Journey to Regionals,1
"""Empire State of Mind""",Jay-Z feat. Alicia Keys,"Santana Lopez, Noah Puckerman, Mercedes Jones, Finn Hudson, Rachel Berry and Artie Abrams with New Directions","1. ""Audition""",Yes,Volume 4,2
"""Every Rose Has Its Thorn""",Poison,Sam Evans,"1. ""Audition""",No,TBA,2
"""Telephone""",Lady Gaga feat. Beyoncé,Sunshine Corazon and Rachel Berry,"1. ""Audition""",Yes,The Complete Season Two,2
"""Getting to Know You""",The King and I,Tina Cohen-Chang,"1. ""Audition""",No,TBA,2
"""Billionaire""",Travie McCoy feat. Bruno Mars,Sam Evans with New Directions males except Kurt Hummel,"1. ""Audition""",Yes,Volume 4,2
"""The Power""[nb 1]",Snap!,Finn Hudson,"1. ""Audition""",No,TBA,2
"""Listen""",Dreamgirls,Sunshine Corazon,"1. ""Audition""",Yes,The Complete Season Two,2
"""What I Did for Love""",A Chorus Line,Rachel Berry,"1. ""Audition""",Yes,Love Songs,2
"""I'm a Slave 4 U""",Britney Spears,Brittany S. Pierce,"2. ""Britney/Brittany""",Yes,Dance Party,2
"""Me Against the Music""",Britney Spears feat. Madonna,Brittany S. Pierce and Santana Lopez,"2. ""Britney/Brittany""",Yes,Volume 4,2
"""...Baby One More Time""",Britney Spears,Rachel Berry,"2. ""Britney/Brittany""",Yes,The Complete Season Two,2
"""Sailing""",Christopher Cross,Will Schuester,"2. ""Britney/Brittany""",No,TBA,2
"""Stronger""",Britney Spears,Artie Abrams with McKinley High Titans,"2. ""Britney/Brittany""",Yes,Volume 4,2
"""Toxic""",Britney Spears,"Brittany S. Pierce, Santana Lopez, Will Schuester, Rachel Berry and Tina Cohen-Chang with New Directions","2. ""Britney/Brittany""",Yes,Volume 4,2
"""The Only Exception""",Paramore,"Rachel Berry with Quinn Fabray, Mercedes Jones and Santana Lopez","2. ""Britney/Brittany""",Yes,Volume 4,2
"""Only the Good Die Young""",Billy Joel,Noah Puckerman with New Directions,"3. ""Grilled Cheesus""",Yes,The Complete Season Two,2
"""I Look to You""",Whitney Houston,Mercedes Jones with Quinn Fabray and Tina Cohen-Chang,"3. ""Grilled Cheesus""",Yes,The Complete Season Two,2
"""Papa, Can You Hear Me?""",Barbra Streisand,Rachel Berry,"3. ""Grilled Cheesus""",Yes,The Complete Season Two,2
"""I Want to Hold Your Hand""",The Beatles,Kurt Hummel,"3. ""Grilled Cheesus""",Yes,Volume 4,2
"""Losing My Religion""",R.E.M.,Finn Hudson,"3. ""Grilled Cheesus""",Yes,The Complete Season Two,2
"""Bridge over Troubled Water""",Aretha Franklin,Mercedes Jones with church choir,"3. ""Grilled Cheesus""",Yes,The Complete Season Two,2
"""One of Us""",Joan Osborne,New Directions,"3. ""Grilled Cheesus""",Yes,Volume 4,2
"""Don't Go Breaking My Heart""",Elton John and Kiki Dee,Rachel Berry and Finn Hudson,"4. ""Duets""",Yes,Love Songs,2
"""River Deep – Mountain High""",Ike & Tina Turner,Mercedes Jones and Santana Lopez,"4. ""Duets""",Yes,Volume 4,2
"""Le Jazz Hot!""",Victor/Victoria,Kurt Hummel,"4. ""Duets""",Yes,The Complete Season Two,2
"""Sing!""",A Chorus Line,Mike Chang and Tina Cohen-Chang with New Directions,"4. ""Duets""",Yes,The Complete Season Two,2
"""With You I'm Born Again""",Billy Preston and Syreeta Wright,Rachel Berry and Finn Hudson,"4. ""Duets""",No,TBA,2
"""Lucky""",Jason Mraz and Colbie Caillat,Sam Evans and Quinn Fabray,"4. ""Duets""",Yes,Volume 4,2
"""Get Happy"" / ""Happy Days Are Here Again""",Judy Garland and Barbra Streisand,Rachel Berry and Kurt Hummel,"4. ""Duets""",Yes,The Complete Season Two,2
"""Science Fiction/Double Feature""",The Rocky Horror Show,Santana Lopez,"5. ""The Rocky Horror Glee Show""",Yes,The Rocky Horror Glee Show,2
"""Over at the Frankenstein Place""",The Rocky Horror Show,Rachel Berry and Finn Hudson with New Directions,"5. ""The Rocky Horror Glee Show""",Yes,The Rocky Horror Glee Show,2
"""Dammit Janet""",The Rocky Horror Show,"Finn Hudson and Rachel Berry with Quinn Fabray, Kurt Hummel and Mercedes Jones","5. ""The Rocky Horror Glee Show""",Yes,The Rocky Horror Glee Show,2
"""Hot Patootie - Bless My Soul""",The Rocky Horror Show,Carl Howell with New Directions,"5. ""The Rocky Horror Glee Show""",Yes,The Rocky Horror Glee Show,2
"""Sweet Transvestite""",The Rocky Horror Show,Mercedes Jones with Brittany S. Pierce and Santana Lopez,"5. ""The Rocky Horror Glee Show""",Yes,The Rocky Horror Glee Show,2
"""Touch-a, Touch-a, Touch-a, Touch Me""",The Rocky Horror Show,"Emma Pillsbury, Santana Lopez and Brittany S. Pierce with Will Schuester, Kurt Hummel, Carl Howell and Finn Hudson","5. ""The Rocky Horror Glee Show""",Yes,The Rocky Horror Glee Show,2
"""Time Warp""",The Rocky Horror Show,New Directions,"5. ""The Rocky Horror Glee Show""",Yes,The Rocky Horror Glee Show,2
"""One Love/People Get Ready""",Bob Marley & The Wailers,Noah Puckerman and Artie Abrams,"6. ""Never Been Kissed""",Yes,Volume 4,2
"""Teenage Dream"" [nb 2]",Katy Perry,Dalton Academy Warblers,"6. ""Never Been Kissed""",Yes,Volume 4,2
"""Start Me Up"" / ""Livin' On A Prayer""",The Rolling Stones / Bon Jovi,New Directions females,"6. ""Never Been Kissed""",Yes,The Complete Season Two,2
"""Stop! In The Name Of Love"" / ""Free Your Mind""",The Supremes / En Vogue,New Directions males,"6. ""Never Been Kissed""",Yes,The Complete Season Two,2
"""Conjunction Junction""",Schoolhouse Rock!,Holly Holliday,"7. ""The Substitute""",No,TBA,2
"""Forget You""",Cee Lo Green,"Holly Holliday, Artie Abrams, Mercedes Jones and Santana Lopez with New Directions except Rachel Berry","7. ""The Substitute""",Yes,Volume 4,2
"""Make 'Em Laugh""",Donald O'Connor,Will Schuester with Mike Chang,"7. ""The Substitute""",Yes,The Complete Season Two,2
"""Nowadays / Hot Honey Rag""",Chicago,Holly Holliday and Rachel Berry,"7. ""The Substitute""",Yes,The Complete Season Two,2
"""Singin' In The Rain"" / ""Umbrella""",Gene Kelly / Rihanna feat. Jay-Z,Holly Holliday and Will Schuester with New Directions,"7. ""The Substitute""",Yes,The Complete Season Two,2
"""Ohio""",Wonderful Town,Sue Sylvester and Doris Sylvester,"8. ""Furt""",Yes,The Complete Season Two,2
"""Marry You""",Bruno Mars,New Directions,"8. ""Furt""",Yes,Volume 4,2
"""Sway""",Michael Bublé,Will Schuester,"8. ""Furt""",Yes,Volume 4,2
"""Just The Way You Are""",Bruno Mars,Finn Hudson with New Directions,"8. ""Furt""",Yes,Volume 4,2
"""Don't Cry For Me Argentina""",Evita,Rachel Berry and Kurt Hummel,"9. ""Special Education""",Yes,The Complete Season Two,2
"""The Living Years""",Mike + The Mechanics,The Hipsters,"9. ""Special Education""",Yes,The Complete Season Two,2
"""Hey, Soul Sister""",Train,Dalton Academy Warblers,"9. ""Special Education""",Yes,Presents the Warblers,2
"""(I've Had) The Time of My Life""",Bill Medley and Jennifer Warnes,"Sam Evans and Quinn Fabray with Santana Lopez, Mercedes Jones and New Directions","9. ""Special Education""",Yes,Volume 4,2
"""Valerie""",Mark Ronson feat. Amy Winehouse,Santana Lopez with New Directions,"9. ""Special Education""",Yes,Volume 4,2
"""Dog Days Are Over""",Florence and the Machine,Tina Cohen-Chang and Mercedes Jones with New Directions,"9. ""Special Education""",Yes,The Complete Season Two,2
"""The Most Wonderful Day of the Year""",Rudolph the Red-Nosed Reindeer,"Artie Abrams, Brittany S. Pierce, Quinn Fabray, Sam Evans and Tina Cohen-Chang with New Directions","10. ""A Very Glee Christmas""",Yes,The Christmas Album,2
"""We Need a Little Christmas""",Mame,Mercedes Jones with New Directions,"10. ""A Very Glee Christmas""",Yes,The Christmas Album,2
"""Merry Christmas Darling""",The Carpenters,Rachel Berry,"10. ""A Very Glee Christmas""",Yes,The Christmas Album,2
"""Baby, It's Cold Outside""",Frank Loesser and Lynn Garland,Kurt Hummel and Blaine Anderson,"10. ""A Very Glee Christmas""",Yes,The Christmas Album,2
"""You're a Mean One, Mr. Grinch""",How the Grinch Stole Christmas!,Will Schuester and k.d. lang,"10. ""A Very Glee Christmas""",Yes,The Christmas Album,2
"""Last Christmas""",Wham!,Rachel Berry and Finn Hudson,"10. ""A Very Glee Christmas""",Yes,The Christmas Album,2
"""Welcome Christmas""",How the Grinch Stole Christmas!,New Directions,"10. ""A Very Glee Christmas""",Yes,The Complete Season Two,2
"""California Gurls""[nb 1]",Katy Perry feat. Snoop Dogg,McKinley High Cheerios,"11. ""The Sue Sylvester Shuffle""",No,TBA,2
"""Need You Now""",Lady Antebellum,Rachel Berry and Noah Puckerman,"11. ""The Sue Sylvester Shuffle""",Yes,Volume 5,2
"""She's Not There""",The Zombies,New Direction Males with McKinley High Titans,"11. ""The Sue Sylvester Shuffle""",Yes,Volume 5,2
"""Bills, Bills, Bills""",Destiny's Child,Dalton Academy Warblers,"11. ""The Sue Sylvester Shuffle""",Yes,Presents the Warblers,2
"""Thriller"" / ""Heads Will Roll""",Michael Jackson / Yeah Yeah Yeahs,"Santana Lopez, Artie Abrams and Finn Hudson with New Directions and McKinley High Titans","11. ""The Sue Sylvester Shuffle""",Yes,Volume 5,2
"""Fat Bottomed Girls""",Queen,Noah Puckerman with New Directions males,"12. ""Silly Love Songs""",Yes,Volume 5,2
